1_0,2_0,2_1,3_0,3_1,E
1.4843977e-12,6.1413091e-11,4.313419e-10,1.2725003e-10,2.6648379e-07,1.0
1.485104e-12,6.1426796e-11,4.3830463e-10,1.2925482e-10,2.6619347e-07,1.0456357
1.4858329e-12,6.1440692e-11,4.4562767e-10,1.313508e-10,2.6585165e-07,1.093354
1.4865846e-12,6.1454756e-11,4.533299e-10,1.3354159e-10,2.6545327e-07,1.1432499
1.4873593e-12,6.1468958e-11,4.614311e-10,1.3583111e-10,2.6499282e-07,1.1954229
1.4881569e-12,6.1483267e-11,4.6995188e-10,1.3822357e-10,2.6446404e-07,1.2499768
1.4889776e-12,6.1497648e-11,4.7891379e-10,1.4072327e-10,2.6385997e-07,1.3070204
1.4898213e-12,6.151206e-11,4.883392e-10,1.4333468e-10,2.6317309e-07,1.3666671
1.4906879e-12,6.1526461e-11,4.9825137e-10,1.4606235e-10,2.6239526e-07,1.4290359
1.4915771e-12,6.1540802e-11,5.086744e-10,1.4891097e-10,2.6151763e-07,1.4942509
1.4924886e-12,6.1555031e-11,5.1963315e-10,1.5188535e-10,2.6053075e-07,1.5624421
1.493422e-12,6.1569091e-11,5.311532e-10,1.5499033e-10,2.594247e-07,1.6337452
1.4943766e-12,6.158292e-11,5.4326079e-10,1.5823061e-10,2.5818893e-07,1.7083022
1.4953518e-12,6.1596452e-11,5.5598266e-10,1.6161073e-10,2.5681223e-07,1.7862617
1.4963467e-12,6.1609616e-11,5.6934575e-10,1.6513516e-10,2.5528264e-07,1.867779
1.4973603e-12,6.1622325e-11,5.8337522e-10,1.688082e-10,2.5358751e-07,1.9530164
1.4983915e-12,6.1634479e-11,5.9809443e-10,1.7263396e-10,2.5171341e-07,2.0421436
1.4994389e-12,6.1645967e-11,6.1352536e-10,1.7661626e-10,2.4964614e-07,2.1353382
1.5005011e-12,6.1656671e-11,6.2968807e-10,1.8075875e-10,2.4737082e-07,2.2327858
1.5015762e-12,6.1666461e-11,6.466001e-10,1.8506558e-10,2.4487188e-07,2.3346805
1.5026624e-12,6.1675198e-11,6.6427563e-10,1.8954083e-10,2.4213366e-07,2.4412252
1.5037575e-12,6.1682729e-11,6.8272462e-10,1.9418832e-10,2.3914207e-07,2.5526322
1.5048593e-12,6.1688894e-11,7.019517e-10,1.9901148e-10,2.3588365e-07,2.6691232
1.5059651e-12,6.1693517e-11,7.2195489e-10,2.040133e-10,2.3234563e-07,2.7909305
1.5070723e-12,6.1696415e-11,7.4272412e-10,2.0919608e-10,2.285158e-07,2.9182965
1.5081779e-12,6.1697392e-11,7.6423945e-10,2.1456099e-10,2.2438036e-07,3.0514749
1.5092788e-12,6.169624e-11,7.8646899e-10,2.2010815e-10,2.1992526e-07,3.190731
1.5103715e-12,6.1692742e-11,8.0936651e-10,2.2583646e-10,2.1513749e-07,3.3363422
1.5114528e-12,6.1686673e-11,8.3286858e-10,2.3174338e-10,2.1000616e-07,3.4885984
1.5125189e-12,6.1677798e-11,8.568913e-10,2.3782518e-10,2.0452528e-07,3.647803
1.5135664e-12,6.1665877e-11,8.8132739e-10,2.4407964e-10,1.9869333e-07,3.8142729
1.5145915e-12,6.1650655e-11,9.0607098e-10,2.5050462e-10,1.9251363e-07,3.9883398
